"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"9 mai 2016 06:30:35 UTC+00:00","6737233732","Commande","171-8887559-8727512","Drum","batterie électronique avec pad de percussion, parfait pour les débutants et les enfants","1","amazon.fr","Amazon","La Chapelle St Mesmin","","45380","44,99","0","0","0","-5,40","-3,50","0","0","36,09"
"9 mai 2016 13:02:15 UTC+00:00","6737233732","Commande","171-3941152-1663542","392B-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","St Michel Sur Orge","","91240","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"9 mai 2016 13:47:23 UTC+00:00","6737233732","Commande","402-2996985-0861105","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","LORREZ LE BOCAGE","","77710","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"9 mai 2016 15:25:09 UTC+00:00","6737233732","Commande","S02-8808054-3898131","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","ST LAURENT DU VAR","","06700","0","0","0","0","0","-1,80","0","0","-1,80"
"9 mai 2016 15:25:09 UTC+00:00","6737233732","Commande","S02-8808054-3898131","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","ST LAURENT DU VAR","","06700","0","0","0","0","0","0","0","-3,40","-3,40"
"9 mai 2016 16:47:01 UTC+00:00","6737233732","Commande","171-8410742-2065940","342A-FR-FBA","Perche Monopode, Amorus® Perche de Selfie stick sans fil Bluetooth monopode pour iPhone 6/6 Plus, Samsung Galaxy S6 / S6 Bord / Note 4, Gopro Hero / H","1","amazon.fr","Amazon","le blanc mesnil","","93150","15,99","2,79","0","0","-1,92","-4,71","0","0","12,15"
"9 mai 2016 18:43:20 UTC+00:00","6737233732","Commande","404-2310623-0485137","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","Lyon","","69003","54,99","9,99","0","0","-6,60","-12,03","0","0","46,35"
"10 mai 2016 07:22:09 UTC+00:00","6737233732","Commande","404-6458120-0053901","MO5-FR-Green-FBA","Amorus® Sacoches de selle étanches avec Signal de tour LED clignotants télécommande sans fil émetteur (vert)","1","amazon.fr","Amazon","CHAMONIX","","74400","29,99","0","0","0","-4,50","-2,74","0","0","22,75"
"10 mai 2016 08:55:29 UTC+00:00","6737233732","Commande","171-2965936-4029155","009B-FR-FBA","Amorus® Sac à dos de vélo étanche lampe témoin sécurité LED clignotant télécommande sans fil (gris)","1","amazon.fr","Amazon","Luxembourg","Luxembourg","1527","35,99","0","0","0","-5,40","-2,74","0","0","27,85"
"10 mai 2016 11:35:14 UTC+00:00","6744996172","Transfert","","","vers le compte finissant en : 8017","","","","","","","0","0","0","0","0","0","0","-1 593,12","-1 593,12"
